,6581
rendered,11
awkward,,1
aloud;,1
"Didn't,2
aloud,,11
aloud.,1
demeanour,6
minute,,4
legends,1
larders,1
child.",1
"Halt,,2
minute;,1
provoked,,1
provoked.,1
prince.,1
prince,,5
Zoraida.",1
Christian?",1
buy,15
but,1683
submit,,1
Del,3
Deo,2
Teresa,--Your,1
ought.,1
ought,,7
partially,1
wise,36
princes,9
ducats.",2
wish,80
mists,1
entice,,1
trying,,2
better,",4
rabbits,1
Turning,1
described,",1
Adriani,,1
Blanco.",1
bake,,2
well-to-do,1
God.",3
morn,,1
sued,2
draught,5
bundle,9
enlist,,1
consent?',1
inquisitors,,1
DIVINATIONS,2
devils,,3
go-between,,1
wretcheder,,1
ours.",2
discreet,,2
Provencal,1
studies,,3
ever,,10
ever.,7
needful,10
hath,28
Tostado,1
ever;,6
hate,6
"Really,,1
Chivalry.'",1
immediately.",1
relic,,1
caprices;,1
thinness,1
pride,14
"Shut,1
exempt,2
cleaving,,1
despondency,2
particulars,,4
tears.,8
pummelled,3
tears,,25
lance-point,1
every,173
hat,,3
softened,4
tears;,2
encounter,12
Clara,",1
chick-peas,,1
diviners;,1
Guarino,1
suffices,2
Captive,1
Moor,37
relics,9
Complutum.",1
I.",3
enjoy,29
leaders,1
hundred;,2
weddings,2
hundred,,3
hundred.,1
street,14
reals,",1
shining,10
colours.",2
unprepared;,1
beaten,10
hunger.",3
sheeted,1
deer.,1
mischievous,11
conduct,12
general,,5
general.,2
COUNT,2
Made,1
short-comings,1
Holiness,2
stared,3
hundreds,3
Marsilio,4
estimate,,1
wedding,,3
path,17
leader,,1
Ferrara,1
intercessory,1
tells,,1
connoisseur,1
Beatrice,1
Dianas,,2
pit.",1
(save,1
iniquity,,1
breath,,5
breath.,1
equipment.,2
feelings,3
sorrows,7
visible,2
diners,,2
sympathise,3
corsairs,,1
"Eat,1
leisurely,,3
way--firmly,1
myrtle,,1
money,",2
Arab,,1
breathe,1
ridicule,,1
sorrow.,3
ridicule.,2
sorrow,,6
feeling,,3
sorrow;,3
prop--may,1
outdated,1
me,1703
join,13
mi,1
entertained,5
praying,,1
wit's,1
heathen's,1
Thunderer,,1
my,2712
shook,5
bush,,1
exactitude,,1
Amarillises,,1
ready-witted,1
loosed,1
potful;,1
Zocodover,2
behaviour,,4
Lord,18
knickknack,1
undescribed,,2
end,200
writers,1
ancestor,1
charging,7
geniuses.,1
plighted,4
loose,,5
it!",6
it!',1
mess,1
Tully,,1
fellows;,1
Others,,1
fellows,,4
stronghold,3
agonies,,1
spout,1
writer,,3
astronomer,,2
enter,32
"Calm,2
notifies,1
reproved,3
sparingly,,1
fort,",1
redress.",1
undid,1
victor,,2
victor.,2
(being,2
hypocrisy,1
animals?",1
maledictions,7
comprehend,5
fade,1
share.",1
absolutism,1
carefully;,1
plaster,5
history,,37
history.,9
Rocinante's,,1
carefully,,7
extent!,1
caterer,',1
extent,,3
borne,,2
whip,,1
expectation,,4
victory,12
"Tell,26
wantonly,1
insensible,,2
superiors,,1
victors,2
signing,2
winsome,1
impossible,",1
Simpleton,,1
She-wolf,,1
Holy,36
frying-pan,1
god,9
croup;,1
washed,6
habitation,,1
trumpeted,2
QUIXOTE,,6
nine-pins,1
Magnificence,",1
got,165
Hold,5
croup,,8
faint,,1
donkey,",1
force?",1
'be,1
North,2
Aragon,5
jubilant,1
go,,33
go.,3
boasted,,1
barley;,1
"this,15
barley.,1
barley,,1
knight-adventurer?",1
humour.,2
fever.,2
already,176
too!,1
too.,3
too,,97
Rocinante;,1
Rocinante:,1
abate,,1
sober,2
Rocinante,,63
Rocinante.,3
Nicolao,1
too;,7
greyhounds,,2
1500,1
Medina,1
EARNEST,2
viceroys,1
bethink,5
fixedly,1
ciphers,,1
ceiling,1
effect,',1
serve,76
took,294
sciences,,3
Courtiers,1
jessamine,,1
widower--a,1
sciences;,1
brayed,,2
sacristan,,3
viceroy,,6
viceroy.,4
cleansed,,1
thirty-four,2
donkey,1
fashion,27
wanton,,1
talking,48
affectation,2
regulate,1
leafy,2
spade,1
peer;,1
doughty,4
-,7
elegance,7
Paris's,1
cleft,3
outwardly,,1
hour.",1
peer,,1
peer.,1
"'I,1
visionary,4
angel.",1
chambers.,1
outcries,,1
chambers,,2
coil,2
coin,4
her.',1
peers,1
her.",11
treats,8
fellow-townsman,1
flow,3
"'t,1
enterprise,10
flog,2
bonelace;,1
blemish,,1
arrayed,9
bonelace,,1
consists,,1
ecclesiastic,,6
elegy,,1
ruin.,5
ruin,,2
peasants,5
soft-hearted,1
shot?,1
mine.",8
well-favoured,2
mixture,8
ecclesiastics,1
Cacus,,2
shutting,3
Walloon,2
countries,4
peasant;,1
affability,,1
twice,9
Caesar's,1
shots,1
peasant,,4
Rodrigo,13
movement,5
ruins,1
PHOEBUS,1
swept,8
liquor,3
nun,2
SUCH,5
Olivante,1
'Sit,1
capacity,5
conceit,,1
curiosity--have,1
ill-nourished,1
extol,1
electronically,1
Likewise,,1
confusion,13
1612.,1
byways,1
kingdom.",6
Nicholas,,5
conscience.",3
improve,5
protect,24
indistinct,1
prized.,1
jester's,1
prized;,1
Libya's,1
conceits,5
varied.,1
self-respect,1
scoundrels!",1
poverty;,3
poverty:,1
poverty!,1
signed,",1
invented,,2
poverty,,5
beef,2
exalt,4
ropes,2
Southern,2
Mambrino's,11
been,873
Chance,1
bees,2
uncommon,1
confidence,,1
Carrascon;,1
rope;,1
openings,1
Bireno,,4
lessen,1
lesser,3
mansion.",1
ugliest,1
teachers,1
Carrascon,,1
rope.,1
hauberk,,1
Follow,2
gormandiser,1
possesses.",1
decanted,1
"a,7
stately,,1
Write,1
RELATING,6
settest!,1
embarrassment;,1
containing,5
"A,25
transcends,,1
"O,31
wound,18
"I,500
RECORD,4
Bazan,,1
embarrassment,,1
several,47
thank,,1
Polo's,1
got?",1
foddering,1
power.",1
greatest,65
madmen.,1
gilds,1
pip;,1
band,,2
shops,,1
pack-saddle,",1
bad?',1
Nisus,1
only?",1
humanity,1
features,,5
bands,3
Taking,2
happier,,1
whipped,,2
Arabia,,1
features;,1
once.",2
whipped;,1
opening,,1
befit,1
play,",1
apart,8
MISFORTUNE,2
forefinger,1
guilty;",1
gift,15
cruelty;,1
specific,1
mosquito,1
cruelty,,5
body.",3
rustling,1
autumn,,1
watching,,1
"Leave,7
clubs,1
clawed,1
displeasure,4
escape,53
precautions,2
watching;,1
bandages,2
armed,18
ice,3
prejudicial,1
cord,6
core,2
wroth,,2
corn,5
cork,15
dauntlessly,1
place.",1
two,",4
Emperor,9
garnished,1
woman,",3
limitation,3
surety,,1
crags,,3
little,",3
bemoaning,3
surround,2
mutandis,,1
stay-she's,1
caviar,,1
MALADY,2
discharging,2
"specially,1
accommodate,2
listeners.,1
Sunday,,2
ROCINANTE,,1
Martha,1
rely,7
INVINCIBLE,2
occurred,,5
Judas!,1
superabundance,,1
clasp,1
flatter,3
occurred?,1
musket-shots.,1
purposely,4
elegantly,,1
head,176
medium,5
Sundays,1
beautiful,",1
heal,2
preamble;,1
26th,1
heat,16
hear,109
heap,4
"continue,,2
objects.,1
conceptions;,1
fact,",1
bids,7
bargain,2
achieving,2
adore,5
supped,,3
digging,,1
bide,2
adorn,6
brightly,1
pelted,1
sinful,1
CHARACTER,2
ahead,,1
"Numancia",2
"Pardon,3
misers,,1
willingly,8
outstretched,1
no,1227
'Cosmography.',1
littleness,1
twinkling.",2
lances;,1
preceding,1
HITHERTO,2
AMUSING,2
dappled,1
unfrequented,1
lances,,2
to-day,19
cloisters,1
withhold,4
Syrtes,1
paying.",1
girthed,2
arises,",1
wishes?,1
Gutierrez;,1
varying,1
livelihood,1
wishes,,8
wishes.,1
displaying,5
scandals,,1
"Dulcinea,5
garlic,",1
curing.,1
leanness,2
fetters;,1
contemplating,4
pin-proddings!,1
agreed,42
FULL,2
advantage,33
pinches,,2
Enchantments,1
gentle;,1
pinches!,1
practicable,,1
roving,2
scars.,1
sighed,2
Melisandra,1
highness,",1
Catiline!,1
hair;,3
hair?,1
monument,,1
hair,,16
ink-bottle,",1
Panchaia!,1
bake,1
substitute,2
asceticism,1
distaste,1
constitution,1
pleased,57
pearl.,1
pearl,,1
del,109
See,,2
hairy,2
benediction,,2
hairs,8
evident,4
am!--that,1
tablets,,1
pearly,1
sighing,,2
likewise,,2
pearls,20
science),1
likewise;,1
free.",1
dreamt,,1
Seen,1
lowers,1
'better,1
washes,1
besought,1
criers,1
many,,12
"my,8
Gaban.",1
'Thou,2
winnowed;',1
"Sleep,,1
concoct,1
"Gentlemen,,1
wrongs,8
redistribution.,1
chapels,2
three;,1
silver-laced,,1
madder,,1
three.,1
three,,8
thenceforward,2
Time,4
moral,,1
chapel,,1
cirimonies,1
fauns,1
wrong.,3
wrong,,10
districts,1
explanations,,1
tale.",2
wives,,6
wives.,1
wrong;,4
laughter,19
slightest,4
misfortunes.",4
enemies?",2
Sylvias,,1
stroke,11
corrupter,1
dropped,12
requirements,5
eloquent,2
5.,1
innumerable,5
speaks,19
Mancha.",1
dogs,,3
fetlocks.,1
veracious.",1
Theseus,,1
unawares,1
Distinguished,,1
outlandish,1
dogs;,1
'Paso,',1
speak,,7
Sepulchre,,1
speak.,1
infringement,,1
compressing,2
gained,",1
head--stay,1
foot,",1
speak;,2
gone?",1
"pack,,1
humanity.,1
congeal,,1
congeal.,1
refund,6
sonnet,9
gipsy,,3
undervalued,1
estility,",1
gipsy;,1
conversation,,20
brilliantly,,2
worship,400
apes,1
rumoured,1
"Friend,4
pieces.",1
heels,,1
Highness,2
angry,",1
needle,,1
devised.,1
"among,1
songs;,1
medlars.",1
falsest,2
equality,2
windmills,,2
seigniories,,1
windmills;,1
Sierra,,5
dirty",1
realise,2
ape,,12
ape.,1
republican,1
well-regulated,1
gape,1
pillaged,1
zebra,1
begun,9
embarking,,1
sustains,2
profit,9
treading,3
attracted,4
daylight;",1
laughing,",1
sharp-set,,1
confessed,,1
END,8
theory,3
booby,2
plaza;,1
Quexana.,1
good-looking,,1
impose,2
imagines,,1
forgettest,1
sustain,,1
origin,10
Catalonia,,1
kindred,,1
hu,,1
incongruous,1
temper,,2
SET,8
persons.,1
humiliation,1
persons,,7
persons;,3
SEE,2
chastity,3
Such,14
tempers,2
circulated,1
hut,3
wine-jars,2
instilleth,1
ill-advised,8
holder,2
Cortes,3
Cid.,1
happiness.",1
require,16
ever-",1
coat,8
MEMORABLE,6
and,16599
fall;,5
pro,1
fall,,19
fall.,6
courbash,,1
pry,1
any,880
duchess,,67
duchess.,7
ceilings;,1
transcription,1
joking,,1
Famous,2
duchess;,21
Maltese,1
Precinct,1
joking;,1
bravado.,1
does,",2
sundry,1
parti-coloured,,1
bachelor,",1
falls,15
hell,",1
"Rest,1
clatter,2
GOT,2
mate;,1
"Holloa,,1
Benengeli;,1
considered,23
Benengeli,,7
unkept,1
gazpacho',1
perpetrated,1
frying-pans;,1
steady;,1
parents.",4
pullet,,1
LX.,1
"Blessed,5
restive,1
Greece?,1
crime,6
Greece,,2
Greece.,1
thankful,3
exemplary,,1
fitment,,1
briars,,1
begging,7
guns--all,1
father-,',1
tailor,5
treachery,10
rais,",1
LXV,1
regarding,12
ribs,,4
braying;,1
LXX,1
braying.,1
braying,,2
ribs;,2
dough,1
bought,11
"how,13
almond-paste.,1
LXI,1
reveals,2
pearls.",2
BELL,2
violated,2
FAMOUS,8
simmering,1
sorest,1
obliging,1
goat-shepherd--that,1
asperity,1
dances.",1
wall;,1
insuring,1
fails,2
detect,2
84116,,1
weapons,1
north-west,1
go-by;,1
Pharaohs,1
smoke.",1
compliance,,2
compliance.,1
grieves,4
Bumpkin,,1
agencies,1
good-looking,3
dutiful,1
grieved,10
cianis,,1
Merlin,,8
Merlin.,1
region,11
weapon.,1
fail?,1
weapon,,1
Merlin;,1
XXVIII,2
fail,,3
fail.,2
cutlass,3
resentment,2
pole,1
knights-errant,96
amen.,2
corde,1
promises:,1
But,310
promises.,4
cords,3
promises,,13
hardly,43
Barbary,8
robbed,24
stomachs.,1
buried.,3
mocking,1
buried,,5
Cardenio's,7
WAY,10
WAS,10
robber,2
paying,18
cord,,3
life?,6
Dis,,2
squinted,,1
demandest,2
troth,",1
Kandy,,7
life!,6
life.,36
life,,71
'diligence,1
footsore,,1
trackless,1
punched,1
servant-maid.,1
canonry,1
helmet,35
'Better,1
quarter.",1
alphabet,1
avoided?",1
Brotherhood,13
mode,,1
Silver,1
bruisers,1
guests;,1
devoir,1
XXVIII.,2
"Open,,1
"Square,1
devoid,3
guests,,2
arose,3
changing,9
pig-sty,1
implements,1
overwhelmed,,1
modes,4
"Gentle,1
recital,1
shift,,1
she?",1
event?,1
Illustrious,,1
termination,2
truth,",14
wilds,,2
stammering,1
slothful,,1
United,10
shepherds;,2
guided,8
mattress,,1
entrusting,1
hastened,,1
shepherds',3
shepherds.,3
perilous,16
shepherds,,10
hemp,,1
dauntless,5
labyrinth.,1
regent,1
except,90
"Espanoli,1
poised,1
concocters,2
kingdom,43
guide,,2
Ariosto,1
modesty.",3
bed;,1
pleasantest,,1
clysters,,1
Talk,2
"Was,1
standstill,1
woman?,1
Finally,5
woman;,5
bear.",2
Something,2
woman,,19
recalls,1
woman.,5
beards,,5
beards.,1
profanity,,1
doubt,',1
doubt,",5
freed;,1
adjuncts,1
Listen,1
provided,37
o',7
oxen,,4
oxen.,1
gigantic,3
legal,3
habits,1
provides,1
also.,3
compulsion,2
quitting,9
calmed,1
petticoats,,1
BROTHERHOOD;,2
pass?",1
communicate,2
Venetian,2
Arm,,2
calmer,1
terrified,9
property?",1
Roca,1
on,2192
carriers',1
oh,3
carriers,,4
of,12853
masked,,1
ox,3
literal,,1
or,2174
flies,,2
amber,2
doing,",1
occasions,,7
undervalue,2
communication,2
names:,1
garner,1
vespers;,1
names.,1
baggages,1
names,,4
Quintanar.",1
commit?,1
footing,,1
lines--,1
strictly,4
hazards,1
strict,4
Bachelor,1
Letter,1
footing;,2
abridgment,1
jug,8
baggage,,1
jur,1
strenuous,1
wench.",1
"Cover,1
nourishment.,2
applying,3
mortals,3
multiplicity,1
Montalban,,2
refinement.,1
commit.,1
Passes,,1
Enemies,1
strongly,5
myself--I,1
research,,2
research.,1
wide-awake,,1
gram,1
amours,1
stumbled,4
idiot,1
besom,1
Sabaean,1
"Sir,",1
idiom,1
noblemen,1
odd,,1
i'faith,1
dismayed,3
oneself,5
has.,1
treasure.,1
castle;,7
mouthfuls,,1
includes,2
courtly,4
bounded,4
included,6
castle.,8
bounden,3
castle,,44
invest,1
odds,4
splendour,,2
bean-pods,1
governor.",7
Fame,2
Ercilla,,1
remonstrances,1
harquebuss,1
Noon,1
Faint,1
Lusitania,1
follow,69
Minos,2
barber,",1
vates,,1
Belerma.",1
Lady,',1
removal,2
regiment,,2
presentation,1
colures,,1
belonging,29
woman,60
Nogales,1
worse,57
vassal,2
proper-minded,1
induce,7
seal,,1
worst,13
***,6
groves,2
grandfather,1
weak,,2
Maintained,1
weak.,2
Gad,,1
direction.,1
ten,37
direction,,3
rate,46
design,9
knight-adventurer,1
saddle-bags,3
renegade,,7
hesitation,2
deeply,14
dames,,1
it.'",1
docile,,1
Adam.",1
thraldom,1
guns,1
chase--,1
turn;,1
sends,,1
love's,1
landed,,2
directions,12
landed!,1
rat,,2
glosses,,1
gun,,1
Verino,1
renegades,2
sticking,4
Aguero,1
draught,,1
Narvaez,,4
snub,1
possessing,,1
all,",9
"Dapple,1
one?",1
Perlerines;,1
dissatisfied,1
grammar.",1
wretched,16
shanks,,1
tusk,1
furze,1
text,,2
Perlerines?,1
miraculous.",1
wretches,2
tablecloth,,2
benefits,3
rains.",1
Cervantes;,3
Cervantes:,2
Cervantes?,1
adapting,1
plea,1
debated,1
Cervantes.,9
trifling;,1
Cervantes',4
excursion,1
"mine,1
"mind,1
Orelia,,1
needn't,2
at--that,1
imitation,8
arise,3
cultivate,1
ollas,,1
offspring,1
Jarama,,1
quick-witted,1
desperation,1
breaking,19
dolefully.,1
extinguished,4
cannibals;",1
vogue,,2
counsels.",1
noseless,1
tormentors,,1
hoisting,1
indomitable,3
epic,,1
with.",4
Everyone,1
Firme;,1
fallen.",1
Iberia,',1
Firme,,1
payment;",1
mission,5
"Poem,1
Arias,1
giddy,,1
playful,,1
pusillanimity,1
it--that,1
nephew,,1
Bucephalus,,1
might,397
alter,4
insensibility,2
paunch,,1
witnesses,,1
cannot.",1
ENDURED,2
smoothness,1
bigger,13
pancakes;,1
inequality,1
difficult,13
posterity;,1
solemnly,,1
oblivious,,1
trim.,1
posterity.,1
scratching,2
stilled,1
wager,7
perhaps--and,1
imploring,8
Eight,1
vagabonds;,2
audience,,1
boldness,7
thwacks.",1
attendant,2
Block,1
thrown,12
hand's-breadth.",1
year's,4
circuit,6
shaver,",1
throws,2
Magallanes,1
pennons,1
Mendoza,1
hare's.,1
blank,1
bed.",1
recreation.,1
portraying,1
moan,2
'covetousness,2
rails,1
swarm,4
hoarse,,2
remainders,1
moat,1
attendants,7
grandfather!",1
disconsolate,,1
Salamancan,",1
Salamancan,',1
interludes.,1
vial,4
instruction,1
dispensed,2
magnificent,,1
death,",1
betrothed:,1
executioner,1
measure;,2
Meotides,,1
measure,,6
warning,,1
circumspectly;,1
purpose.",1
mitres,,1
interferes,1
rivers.,1
landlord's,4
'tell,1
curvetting,2
Melisendra.,1
Melisendra!,1
populous,1
day.,16
interfered,1
hisses,,1
added,43
warnings,2
reckon,18
pillage,1
measures,6
cattle;,1
excels,2
enduring,3
cattle,,1
uniform,,1
BENALCAZAR,1
security;,1
discrepancy.,1
TRIFALDI,,2
security,,1
institutions,1
stones,14
hands--jet,1
beard,,21
beard.,2
memorandum,3
(saving,2
to-day.,4
furnace,,1
beard;,3
havoc,1
instance;,1
melody,1
completed,,1
costing,2
aggravate,1
deserts,3
securing,2
camel,1
compliments,,1
penalty,19
transcendental,1
island,",1
stone;,1
Litany,,1
fancying,12
untying.,1
glutton,",1
countenance,",1
beards,13
stone.,1
stone,,7
spent.",1
THIS,30
sulkily,,1
activity,3
desert,,1
twelvemonth.",2
name?",1
loveliness,1
rare,,1
rare.,1
"At,14
swashbuckler,,1
nailed,1
reads,,1
Anon,1
other's,2
corruption,1
lamenting,4
after,,5
cowed,,1
days;,8
after!,1
days.,1
days,,26
succeed,6
invective,,1
Launcelot,1
days',3
"than,3
bronze,2
days!,1
AND,171
Alquife,,1
license,2
Mantua,',1
courtesy.,5
ANY,7
comforts,,1
sloth,4
flies,6
courtesy,,14
Camacho's,8
reasons,14
wrongs,,12
whelp,1
"Honey,1
Quixote's,,7
unforced,1
Quixote's;,1
drama--like,1
wrongs;,2
flippant,,2
there,,92
complication,3
"Still,,2
bachelor!,1
verisimilitude,1
dub,2
bachelor,,34
ARMS,2
dug,2
there?,2
gracefulness,,1
there;,15
brick,1
bachelor;,2
humours,,2
woke,9
reason;,5
reason:,1
foreseeing,2
interrogations,,1
courtesy?,1
vaguely,2
goodly,4
reason.,8
innkeeper?",1
stowed,5
stripped,,2
lips.,2
lips,,11
bachelors,1
IMITATION,2
lips;,2
enriching,1
leant,4
interlacing,1
leans,2
Martin,,1
frieze,1
sly,,2
matter--either,1
mid-sea,,1
manners,,5
arrives,1
convinced,",1
lean,,5
arrived,14
sagacious,4
robust,1
knack,1
lower,11
equalled,2
ATTENTION,2
anybody,17
bacon,,3
contains.",1
awhile,,1
obstacles,,2
grievance,4
abilities,1
deserved.",1
jumps.,1
precedence,1
places.,2
pigeons,1
places,,6
troutlets,2
obstacles?,1
places;,3
gems,1
translator,,2
translator.,1
Lepanto.,1
Lepanto,,1
plateau,1
interests,,2
townsfolk,1
straight,,1
vindicate,2
condemnation,1
liveries,2
abbess,,1
crossbow.",1
personable,,1
notary.,1
notary,,4
perpetual,6
dissatisfied,,1
ingrates.,1
99712.,,1
understood,31
jump,,2
newsletter,1
Email,1
gradually,1
begrudges,1
roundly,2
(whether,1
castles.,1
tends,5
fragments,3
dragons,,1
hands!,1
loud,,2
beleaguered,1
jumps,4
Poetry,,1
Orianas,,1
him!",2
PENANCE,4
mingled,7
peppery;,1
stricken,1
mingles,1
prematurely.,1
doltish,1
Simon,1
exceed,4
persevering,1
LVII,1
Leonela's,4
corsair,2
vagabond,6
mountain.,1
mountain,,7
Beard,1
daughter),,1
Martino,1
ingrate,,1
husband!',1
Every,4
we're,3
Sun,1
conceivable,1
Vivar,1
counterpoise,1
mountains,22
reciting,1
necessities,,1
defeat,,3
forbidding,2
infers,1
fled,,2
sorceries,1
mantle,,3
Agrajes,'",1
gratifying,2
fled;,2
veritas.,1
"Hey-day!,1
fried,2
beguiling,1
lint,,1
warning,15
MADE,,2
scrutinized,1
flames.,1
weight,,8
depart,,4
cramped,1
disenchant,5
sufferer,,2
suffer,,1
suffer.,1
repentance,4
washerwoman's,1
develops,1
tailors;,1
suffers,5
face.",1
ungratefully,2
weights,1
hope--and,1
Cabra--an,1
spent;,1
joining,3
cities,,5
weighty,1
pervert,2
issued,4
issues,4
Maguncia's,1
wondering,,3
MANY,2
peering,1
obstinate,2
stable,6
galliot,1
wailing,1
baronies,1
issue.,2
scattered,8
issue;,2
bounding,1
drinking,8
redistribute,1
physiognomy,1
1.F.3.,1
incoherent,1
1.F.3,,3
Luisa,,1
Tomasillo,1
objurgations,,1
lizards.,1
oar,,2
UPON,2
desire;,5
State,1
Moor's,1
desire,,9
desire.,3
ladyship,18
Fortune,,6
outlasted,1
relent,1
select;,1
fold;,1
gaily,6
desires,17
unconcernedly,,1
pushing,3
desired,22
fold.,2
oars,12
separation,3
Inquisition.,1
Inquisition,,1
set.,1
frolicsome,1
swashbuckler,1
"Nymphs,1
sheet;',1
"He,22
whereof,,1
readissimus,1
collars;,1
chaste,10
Neptune,,3
lodging,5
use,63
GALLEYS,,2
senora,",27
rackets,1
few,79
depicted,3
kept,,3
doctor--a,1
bag,'",1
Count,7
destroying,,1
boast,,1
6l.),1
musician,6
impress,2
doubloons,,1
doubloons.,1
centred,,1
distractedly,1
eagles',1
red,,2
596-1887,,1
us!,4
us.,17
arms!",1
us,,96
sallowness,,1
Quixotize,2
us?,2
us;,23
us:,2
proprietary,1
calculation,1
complaisance,1
half,,4
mask,,1
half.,1
something,132
"Senora,2
counterfeit,,2
lasses,,1
united,2
buoyant,1
saker,1
dismissing,2
oath-"all,1
"Stand,,1
remedy?,1
blunders.",1
hazard,2
digressions;,1
labourers,,1
remedy.,2
"Senor,,33
remedy,,4
plasters,,1
digressions.,2
plasters.,1
readiness,4
astrologer,,2
sillier,1
summer;,1
straps,1
ETERNAL,2
beguile,2
fearing.",1
astrologer;,1
summer,,4
looks.",1
live.",1
Angelica,4
affection,,5
saturated,2
affection;,1
looks,34
mainland.",2
suiting,2
tables,,1
castle.",1
strangeness,2
ships,2
varnished,2
turban,1
orange,1
inspires,,1
amicably,,1
Moron,,1
Queens,1
trenchant,5
look,,7
look),1
into),,1
unfortunate.,1
unfortunate,,3
affections,4
bewilderment,2
admonished,1
"Art,3
profound,13
needy,,2
needy.,1
ship.,1
ship,,2
"Are,9
"Arm,2
needy?,1
composition,,4
sceptres,4
long-God,1
composition;,1
Which,2
rascalities,1
sceptred,1
'drink,1
assured,,1
vehement,1
disguised,,1
pursued.,1
daughters,",2
phrase,,2
narrative,1
despairing,3
sceptre;,3
This,99
promptly,5
"nulla,1
objurgations,1
comrade,10
overtake,5
phrases,3
perform.,1
day),,1
mad.,3
immaculatissimus,,1
Remember,,2
gale,,1
Turpin,,1
enormity,1
Turpin;,1
marvelling,2
morals.,1
hearing:,1
morals,,2
Italian,,1
proved,,3
proved.,3
retreats,1
patient;,1
STILL,2
hearing,,2
agility,1
untrussing,1
regards,15
lanner,,1
'tus,,1
Mayans,1
===,1
improvidence,1
Catalina,1
chatterer,2
infectious,1
retreat,,4
chattered,1
here,",5
absurd,",1
"may,7
XXVII.,2
comes;,3
adversary;,1
sincerity,5
Guzmans,1
"well,,1
adversary,,4
comes,,3
levelled,5
underwent.,1
rout,1
admittance,1
TOLD,6
comest,5
combat,22
Guzman,,1
Gregory,1
volume,8
discourage,1
saddest,2
Cardenio--"they,1
undimmed,1
wealth.,2
tidings,9
Carpio,,2
Trifaldin,6
unnumbered;,1
spindle,1
Terra,1
spurring,4
Shut,1
pastoral,15
perfumery,1
smallest,3
tribulation,1
tail.,2
Unknown,",2
spun,1
distress,,9
Trifaldi;,2
Trifaldi.,1
Trifaldi,,10
distress;,3
THE,484
spur,8
ended,22
EXALTED,2
high-minded;,1
protesting,1
unison,1
shedding,2
admonition,1
distantly,1
"According,1
fine.",1
having,,1
tail;,1
command;,1
viper,1
command,,4
lelilies,2
daughters,,3
embarrassment,6
father,",2
sonorous,2
friends?",1
commands,6
animalism,1
like--and,1
ACUTE,1
jade,,2
narrower,1
subscribe,1
numbers,,3
table,25
provinces,4
hunters,2
tutor,1
literal,1
a-heavy,1
years.",1
poniard,4
proudest,2
painted,21
knights-errant.,6
cypress,1
overhauled,1
rave,--to,1
BETWEEN,20
"Valour",1
painter,7
designs;,1
wished,,5
wished.,1
depreciation,1
wished;,8
Wait,1
province,,3
spirits.,1
non,4
Miaulina,,1
kind.,4
Tyrian,1
Friendly,1
brandished,1
Wherewith,,1
especially,,1
cross,25
State,,4
member,2
propensity,2
State;,1
knight-errant,",2
rememberest.",1
buzzard;,1
head-carver,,3
beast,19
trunk-hose,1
frivolity,,1
Toboso-",1
just.",1
pricks;,1
fighting,11
States,5
submissive,,1
Rotolando,,1
bending,3
unbridled,1
looked,90
cried,33
"certainly,1
halberds,2
crier,1
cries,20
fishing,1
rooms,,1
heron,,1
rapid,3
lose;,1
is--some,1
price,,1
flagellation.,1
galloping,1
reasonable.,1
reasonable,,4
presume,1
dressing,,2
loses,1
virginity,1
avocations,1
'Well,2
Section,7
Pray,,1
dismissal,,1
growth,1
schoolmaster,,2
urge,,1
mines,1
mined,1
purposely),,1
obey,21
heels.",1
conveyed,2
transformations,4
mine?,4
cared;,1
yokes,,1
mine:,1
mine;,18
saddle,31
pommel,1
courtyard,,3
urged,10
mine.,5
Thisbe,1
mine,,68
gulping,1
urges,3
emperor,19
countesses?,1
mine!,1
own,404
publishers,,1
owe,22
brother,",10
blanketed,8
Upon,9
smoothing,1
intention,30
breeding,7
dear-bought,1
directing,3
valued;,1
disliked,,1
disliked.,1
this!,1
DONA,6
whey-coloured,,1
this,,203
this.,18
record,5
WIT,2
Goths,,1
demonstrate,1
this;,26
this:,4
rickety,1
however,",1
this?,7
Belianis,3
farm-girl,1
is?",1
abbot,5
costumes,,1
myself.",8
1568,1
other,525
disproportion,1
Montana,",1
O'er,1
apportioned,1
earthly,4
Jurisdiction!,1
upwards,3
insipid,1
jewel,9
IMPOSSIBILITY,2
intentionally,1
"pay,1
raining,2
burned.",1
foul,14
four,136
Does,3
ocean,,1
preface,8
screaming,,1
vassals,7
increase,7
hu,",1
recollection;,1
meadows,6
sinking,2
vassal,,4
Fernan,1
rashly,3
oceans,1
hardships;,2
advice,,13
VIII.,2
leisurely,4
advice;,1
hardships,,1
Lest,2
disturb,8
recollections,2
uttering,25
"Good!,1
persisted,2
meadow;,1
feigned,,2
Paul,2
Jerez,2
Heaven's,6
specially,2
atom;,1
ate,,1
admitted.,1
valiant,94
admitted,,2
sailed,2
loathing,3
legs.",1
Castellan,1
relieving,5
Sapient,1
BELTENEBROS,2
comfortably.",1
conjure,7
assurance;,1
admiral,1
inducement,1
reasons,,2
lovemakings,,1
resignation;,1
inheritance,,2
transformation,,1
talk.",1
untrue.,1
unwillingness,1
elaborate,6
rusting.",1
pressed,,2
compano,,1
knavery,1
criticism,1
criticise,1
walk.",1
female;,1
Three,8
replace,1
Mantua,,6
female,,2
revenue,,1
files,,1
